State FIPS Code,statecode
County FIPS Code,countycode
5-digit FIPS Code,fipscode
State Abbreviation,state
Name,county
Release Year,year
County Ranked (Yes=1/No=0),county_ranked
Premature death raw value,v001_rawvalue
Premature death numerator,v001_numerator
Premature death denominator,v001_denominator
Premature death CI low,v001_cilow
Premature death CI high,v001_cihigh
Premature death (Black),v001_race_black
Premature death (Hispanic),v001_race_hispanic
Premature death (White),v001_race_white
Poor or fair health raw value,v002_rawvalue
Poor or fair health numerator,v002_numerator
Poor or fair health denominator,v002_denominator
Poor or fair health CI low,v002_cilow
Poor or fair health CI high,v002_cihigh
Poor physical health days raw value,v036_rawvalue
Poor physical health days numerator,v036_numerator
Poor physical health days denominator,v036_denominator
Poor physical health days CI low,v036_cilow
Poor physical health days CI high,v036_cihigh
Poor mental health days raw value,v042_rawvalue
Poor mental health days numerator,v042_numerator
Poor mental health days denominator,v042_denominator
Poor mental health days CI low,v042_cilow
Poor mental health days CI high,v042_cihigh
Low birthweight raw value,v037_rawvalue
Low birthweight numerator,v037_numerator
Low birthweight denominator,v037_denominator
Low birthweight CI low,v037_cilow
Low birthweight CI high,v037_cihigh
Low birthweight (Black),v037_race_black
Low birthweight (Hispanic),v037_race_hispanic
Low birthweight (White),v037_race_white
Adult smoking raw value,v009_rawvalue
Adult smoking numerator,v009_numerator
Adult smoking denominator,v009_denominator
Adult smoking CI low,v009_cilow
Adult smoking CI high,v009_cihigh
Adult obesity raw value,v011_rawvalue
Adult obesity numerator,v011_numerator
Adult obesity denominator,v011_denominator
Adult obesity CI low,v011_cilow
Adult obesity CI high,v011_cihigh
Food environment index raw value,v133_rawvalue
Food environment index numerator,v133_numerator
Food environment index denominator,v133_denominator
Food environment index CI low,v133_cilow
Food environment index CI high,v133_cihigh
Physical inactivity raw value,v070_rawvalue
Physical inactivity numerator,v070_numerator
Physical inactivity denominator,v070_denominator
Physical inactivity CI low,v070_cilow
Physical inactivity CI high,v070_cihigh
Access to exercise opportunities raw value,v132_rawvalue
Access to exercise opportunities numerator,v132_numerator
Access to exercise opportunities denominator,v132_denominator
Access to exercise opportunities CI low,v132_cilow
Access to exercise opportunities CI high,v132_cihigh
Excessive drinking raw value,v049_rawvalue
Excessive drinking numerator,v049_numerator
Excessive drinking denominator,v049_denominator
Excessive drinking CI low,v049_cilow
Excessive drinking CI high,v049_cihigh
Alcohol-impaired driving deaths raw value,v134_rawvalue
Alcohol-impaired driving deaths numerator,v134_numerator
